year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,utm_x_m,utm_y_m,proj_x_m,proj_y_m,t_days_since_rain,along_fault_from_p1_m,along_fault_from_p1_km,r_proj_m,r_proj_km,dist_to_fault_m,dist_to_fault_km,distance_to_segment_m,distance_to_segment_km,on_segment_projection,side_of_fault,fault_length_m,fault_length_km
2024,8,4,23,18,28.68,2024-08-04 23:18:28.680,11,23.038228,-109.714648,13.097,2.8,194.9,90.2,105.1,214.76044794142143,631695.4281826214,2548329.764789753,626921.5773518691,2545045.958277393,-40.02883472222222,1118.0104157043866,1.1180104157043866,-5794.2244489570085,-5.794224448957008,5794.2244489570085,5.794224448957008,5794.2244489571,5.794224448957101,True,left,2767.9951082135894,2.7679951082135896
2024,8,5,11,45,45.97,2024-08-05 11:45:45.970,14,23.042586,-109.725928,12.86,2.8,189.5,81.7,84.9,206.36167279802712,630535.3609306549,2548802.175038107,626328.3886795926,2545908.309401091,-39.50988460648148,71.33842245161684,0.07133842245161684,-5106.179966110711,-5.106179966110711,5106.179966110711,5.106179966110711,5106.179966110689,5.106179966110689,True,left,2767.9951082135894,2.7679951082135896
2024,8,5,12,8,5.23,2024-08-05 12:08:05.230,17,23.022786,-109.740804,11.275,2.7,190.7,115.6,128.6,223.00190582145257,629029.917682743,2546596.7499471987,626874.6412231486,2545114.191919126,-39.49438391203704,1035.1923618550197,1.0351923618550196,-2615.9500996548213,-2.6159500996548215,2615.9500996548213,2.6159500996548215,2615.9500996549286,2.6159500996549285,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,5,19,1.83,2024-08-08 05:19:01.830,19,23.006167,-109.749577,9.101,1.9,175.3,43.8,67.6,180.68904227982395,628146.5499154512,2544749.019749939,627453.6793151986,2544272.4122751774,-36.77845104166666,2056.8958809892,2.0568958809892,-840.9663213784279,-0.8409663213784279,840.9663213784279,0.8409663213784279,840.9663213785922,0.8409663213785922,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,33,9.48,2024-08-08 15:33:09.480,20,23.021729,-109.736336,12.135,3.1,199.1,111.3,86.0,228.0975668436645,629488.8154110996,2546483.6633946407,627074.8394147338,2544823.1527547855,-36.35197361111111,1388.4388920491772,1.3884388920491773,-2929.9446575153484,-2.9299446575153483,2929.9446575153484,2.9299446575153483,2929.9446575152833,2.9299446575152834,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,33,34.26,2024-08-08 15:33:34.260,21,23.002968,-109.754036,7.678,2.0,170.5,68.6,111.7,183.78305144925633,627692.5402556442,2544390.94078531,627475.0544713114,2544241.3380305828,-36.35168680555556,2094.6120045437256,2.0946120045437255,-263.97168524075147,-0.2639716852407515,263.97168524075147,0.2639716852407515,263.97168524090415,0.26397168524090414,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,34,3.45,2024-08-08 15:34:03.450,22,23.005831,-109.758016,7.166,1.9,166.3,60.7,106.8,177.03157910384238,627281.9197499477,2544704.46469318,627196.7714534656,2544645.893418036,-36.35134895833333,1603.5860382867995,1.6035860382867995,-103.3480849644236,-0.1033480849644236,103.3480849644236,0.1033480849644236,103.34808496433223,0.10334808496433223,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,36,55.2,2024-08-08 15:36:55.200,23,23.005436,-109.742456,8.958,1.7,169.0,61.0,88.5,179.6719232378838,628877.1043156948,2544674.328632182,627723.2032651999,2543880.5904282513,-36.34936111111111,2532.466611115644,2.5324666111156438,-1400.538457419908,-1.4005384574199078,1400.538457419908,1.4005384574199078,1400.538457419946,1.4005384574199462,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,40,34.39,2024-08-08 15:40:34.390,24,23.002812,-109.75533,7.429,1.9,169.0,78.2,130.1,186.21557399959863,627560.0567973688,2544372.5420958563,627441.0928459323,2544290.7099204673,-36.34682418981481,2034.6872558238485,2.0346872558238487,-144.39157409720366,-0.14439157409720366,144.39157409720366,0.14439157409720366,144.3915740971745,0.14439157409717449,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,43,30.71,2024-08-08 15:43:30.710,25,23.011576,-109.747729,9.336,1.7,162.1,55.9,119.8,171.4678395501617,628330.8417216544,2545349.5121876425,627232.4818229916,2544593.9792822343,-36.34478344907407,1666.5964182864757,1.6665964182864756,-1333.1258148221032,-1.3331258148221032,1333.1258148221032,1.3331258148221032,1333.1258148220793,1.3331258148220793,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,1,6.78,2024-08-08 16:01:06.780,26,23.002134,-109.753255,7.622,1.8,170.2,83.6,135.3,189.62331080328704,627773.3751182808,2544299.28248641,627543.816372293,2544141.3750586812,-36.33256041666667,2215.9412869861476,2.2159412869861477,-278.6251488851548,-0.27862514888515477,278.6251488851548,0.27862514888515477,278.62514888525,0.27862514888525,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,6,35.62,2024-08-08 16:06:35.620,27,23.004386,-109.742961,7.942,2.1,167.6,84.2,128.7,187.56172317399944,628826.341448739,2544557.630329042,627761.389087277,2543825.077590403,-36.32875439814815,2599.844887835009,2.599844887835009,-1292.577675449816,-1.2925776754498162,1292.577675449816,1.2925776754498162,1292.5776754497954,1.2925776754497953,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,19,36.82,2024-08-08 16:19:36.820,28,23.000116,-109.753638,7.323,1.9,171.3,76.5,132.6,187.60581014456884,627736.0182666308,2544075.519666587,627636.3001919094,2544006.926223939,-36.31971273148148,2379.1275181898445,2.3791275181898444,-121.03204038794097,-0.12103204038794096,121.03204038794097,0.12103204038794096,121.03204038795877,0.12103204038795877,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,26,35.03,2024-08-08 16:26:35.030,29,23.00116,-109.74856,7.556,2.1,168.3,78.9,131.2,185.87657195031332,628255.5188416891,2544195.5431488985,627747.1164522932,2543845.826507892,-36.31487233796297,2574.661050035049,2.574661050035049,-617.0694600613016,-0.6170694600613016,617.0694600613016,0.6170694600613016,617.0694600612742,0.6170694600612742,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,17,38,42.76,2024-08-08 17:38:42.760,30,23.005945,-109.751335,8.143,2.0,167.6,63.4,94.9,179.190736367704,627966.575000983,2544722.904268821,627408.0670567529,2544338.721333599,-36.264782870370375,1976.413775218426,1.976413775218426,-677.8846889283308,-0.6778846889283308,677.8846889283308,0.6778846889283308,677.8846889284442,0.6778846889284442,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,18,12,25.32,2024-08-08 18:12:25.320,31,23.005273,-109.749813,8.285,1.8,168.7,63.6,94.8,180.2904600914868,628123.2055732919,2544649.8313294915,627492.4957786718,2544215.9826391134,-36.241373611111115,2125.3869144382493,2.1253869144382493,-765.5191252820338,-0.7655191252820338,765.5191252820338,0.7655191252820338,765.5191252819135,0.7655191252819135,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,18,42,0.84,2024-08-08 18:42:00.840,32,23.007383,-109.750724,7.803,1.7,165.1,65.7,101.6,177.69214951707912,628027.8418737532,2544882.6506614517,627353.1544060878,2544418.5508856783,-36.220823611111115,1879.5212750535102,1.8795212750535102,-818.8966851181899,-0.8188966851181899,818.8966851181899,0.8188966851181899,818.8966851183083,0.8188966851183083,True,left,2767.9951082135894,2.7679951082135896
