year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,utm_x_m,utm_y_m,proj_x_m,proj_y_m,t_days_since_rain,along_fault_from_p1_m,along_fault_from_p1_km,r_proj_m,r_proj_km,dist_to_fault_m,dist_to_fault_km,distance_to_segment_m,distance_to_segment_km,on_segment_projection,side_of_fault,fault_length_m,fault_length_km
2024,8,8,5,19,1.83,2024-08-08 05:19:01.830,19,23.006167,-109.749577,9.101,1.9,175.3,43.8,67.6,180.68904227982395,628146.5499154512,2544749.019749939,627453.6793151986,2544272.4122751774,-36.77845104166666,2056.8958809892,2.0568958809892,-840.9663213784279,-0.8409663213784279,840.9663213784279,0.8409663213784279,840.9663213785922,0.8409663213785922,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,33,34.26,2024-08-08 15:33:34.260,21,23.002968,-109.754036,7.678,2.0,170.5,68.6,111.7,183.78305144925633,627692.5402556442,2544390.94078531,627475.0544713114,2544241.3380305828,-36.35168680555556,2094.6120045437256,2.0946120045437255,-263.97168524075147,-0.2639716852407515,263.97168524075147,0.2639716852407515,263.97168524090415,0.26397168524090414,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,34,3.45,2024-08-08 15:34:03.450,22,23.005831,-109.758016,7.166,1.9,166.3,60.7,106.8,177.03157910384238,627281.9197499477,2544704.46469318,627196.7714534656,2544645.893418036,-36.35134895833333,1603.5860382867995,1.6035860382867995,-103.3480849644236,-0.1033480849644236,103.3480849644236,0.1033480849644236,103.34808496433223,0.10334808496433223,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,15,40,34.39,2024-08-08 15:40:34.390,24,23.002812,-109.75533,7.429,1.9,169.0,78.2,130.1,186.21557399959863,627560.0567973688,2544372.5420958563,627441.0928459323,2544290.7099204673,-36.34682418981481,2034.6872558238485,2.0346872558238487,-144.39157409720366,-0.14439157409720366,144.39157409720366,0.14439157409720366,144.3915740971745,0.14439157409717449,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,1,6.78,2024-08-08 16:01:06.780,26,23.002134,-109.753255,7.622,1.8,170.2,83.6,135.3,189.62331080328704,627773.3751182808,2544299.28248641,627543.816372293,2544141.3750586812,-36.33256041666667,2215.9412869861476,2.2159412869861477,-278.6251488851548,-0.27862514888515477,278.6251488851548,0.27862514888515477,278.62514888525,0.27862514888525,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,19,36.82,2024-08-08 16:19:36.820,28,23.000116,-109.753638,7.323,1.9,171.3,76.5,132.6,187.60581014456884,627736.0182666308,2544075.519666587,627636.3001919094,2544006.926223939,-36.31971273148148,2379.1275181898445,2.3791275181898444,-121.03204038794097,-0.12103204038794096,121.03204038794097,0.12103204038794096,121.03204038795877,0.12103204038795877,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,16,26,35.03,2024-08-08 16:26:35.030,29,23.00116,-109.74856,7.556,2.1,168.3,78.9,131.2,185.87657195031332,628255.5188416891,2544195.5431488985,627747.1164522932,2543845.826507892,-36.31487233796297,2574.661050035049,2.574661050035049,-617.0694600613016,-0.6170694600613016,617.0694600613016,0.6170694600613016,617.0694600612742,0.6170694600612742,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,17,38,42.76,2024-08-08 17:38:42.760,30,23.005945,-109.751335,8.143,2.0,167.6,63.4,94.9,179.190736367704,627966.575000983,2544722.904268821,627408.0670567529,2544338.721333599,-36.264782870370375,1976.413775218426,1.976413775218426,-677.8846889283308,-0.6778846889283308,677.8846889283308,0.6778846889283308,677.8846889284442,0.6778846889284442,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,18,12,25.32,2024-08-08 18:12:25.320,31,23.005273,-109.749813,8.285,1.8,168.7,63.6,94.8,180.2904600914868,628123.2055732919,2544649.8313294915,627492.4957786718,2544215.9826391134,-36.241373611111115,2125.3869144382493,2.1253869144382493,-765.5191252820338,-0.7655191252820338,765.5191252820338,0.7655191252820338,765.5191252819135,0.7655191252819135,True,left,2767.9951082135894,2.7679951082135896
2024,8,8,18,42,0.84,2024-08-08 18:42:00.840,32,23.007383,-109.750724,7.803,1.7,165.1,65.7,101.6,177.69214951707912,628027.8418737532,2544882.6506614517,627353.1544060878,2544418.5508856783,-36.220823611111115,1879.5212750535102,1.8795212750535102,-818.8966851181899,-0.8188966851181899,818.8966851181899,0.8188966851181899,818.8966851183083,0.8188966851183083,True,left,2767.9951082135894,2.7679951082135896
