year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,in_tule,utm_x_m,utm_y_m,along_fault_m,r_proj_m,dist_to_fault_m,d_euclid_ref_m,t_days_since_rain
2024,9,5,9,48,18.62,2024-09-05 09:48:18.620,515,23.009275,-109.768286,10.932,1.9,176.5,88.4,133.3,197.40012664636265,True,626226.1037641885,2545076.894432286,-685.6266098371393,555.4667144436993,555.4667144436993,882.398503495811,-8.591451157407407
2024,9,9,20,25,39.68,2024-09-09 20:25:39.680,1006,23.014561,-109.767244,10.837,2.0,210.1,95.7,144.6,230.8690104799689,True,626327.9761692218,2545663.0466118064,-1110.8213574304748,139.33958112620388,139.33958112620388,1119.526510178347,-4.148846296296297
2024,9,22,1,44,47.54,2024-09-22 01:44:47.540,2324,23.014223,-109.767798,11.216,1.3,208.0,110.0,158.0,235.29555881911585,True,626271.5130117626,2545625.146416289,-1111.5952667525994,207.33894902686785,207.33894902686785,1130.7667650096323,8.072772453703704
2024,9,27,7,40,1.22,2024-09-27 07:40:01.220,2649,23.012433,-109.769165,8.128,1.8,164.6,82.2,133.5,183.98369492974095,True,626133.0775045652,2545425.784141344,-1025.7977029598017,434.38186208821134,434.38186208821134,1113.9786934716603,13.319458564814814
2024,9,29,1,6,52.35,2024-09-29 01:06:52.350,2895,23.003778,-109.758407,9.284,1.6,175.4,77.1,119.7,191.59741647527505,True,627243.7699035893,2544476.8212172077,385.5225606790902,57.097685270055706,57.097685270055706,389.72784151990106,15.046439236111112
2024,10,1,8,10,13.59,2024-10-01 08:10:13.590,3267,23.006907,-109.771167,8.516,1.1,189.3,91.5,147.2,210.2539892606083,True,625933.0252241875,2544812.236410404,-633.6740660603007,946.9253104031482,946.9253104031482,1139.3903481597047,17.340435069444446
2024,10,3,3,52,2.14,2024-10-03 03:52:02.140,3525,23.006185,-109.76285,8.921,1.9,193.5,91.4,130.8,214.0004906536431,True,626786.1334420441,2544739.4689171775,-90.23231517966403,285.2911192939265,285.2911192939265,299.2204763224997,19.16113587962963
2024,10,3,8,36,22.32,2024-10-03 08:36:22.320,3575,23.013859,-109.7712,10.789,1.5,168.4,159.8,130.0,232.15210531029007,True,625923.1891520966,2545581.9172223085,-1273.3871413070065,518.8219561925656,518.8219561925656,1375.0240121079742,19.35859166666667
2024,10,3,12,49,9.95,2024-10-03 12:49:09.950,3635,23.010191,-109.765088,8.835,1.4,182.9,94.0,129.9,205.64145982753575,True,626553.0158160478,2545181.070171208,-586.1833638700859,227.08414020686044,227.08414020686044,628.6319613347214,19.534142939814814
2024,10,3,14,1,17.47,2024-10-03 14:01:17.470,3659,23.008659,-109.761735,8.647,1.7,189.0,90.8,128.6,209.67985120177855,True,626898.0996542166,2545014.349982346,-253.25082316762223,37.25685006940721,37.25685006940721,255.9766636085652,19.58422997685185
2024,10,3,14,16,34.62,2024-10-03 14:16:34.620,3666,23.006824,-109.760913,8.49,1.0,174.7,86.7,121.6,195.03071552963135,True,626984.0654455432,2544811.894620673,-37.7281534966486,81.16891682226759,81.16891682226759,89.50869580307196,19.59484513888889
2024,10,3,16,5,33.47,2024-10-03 16:05:33.470,3700,23.006708,-109.761287,8.846,1.4,201.4,93.6,133.9,222.08764035848552,True,626945.841555682,2544798.727341721,-48.542583182993354,120.12390497108485,120.12390497108485,129.56131725009612,19.67052627314815
2024,10,3,18,56,9.32,2024-10-03 18:56:09.320,3717,23.003705,-109.764811,8.947,1.0,192.8,95.3,137.8,215.06726854637833,True,626587.4573526395,2544463.193776702,24.792996405912277,605.5555716461965,605.5555716461965,606.0629035195401,19.78899675925926
2024,10,4,3,34,33.35,2024-10-04 03:34:33.350,3750,23.007646,-109.764714,8.534,1.6,179.9,88.4,129.2,200.44592787083505,True,626593.7222129864,2544899.6163428994,-331.2242167977241,353.056762413043,353.056762413043,484.1059380743492,20.14899710648148
2024,10,4,5,59,56.93,2024-10-04 05:59:56.930,3778,23.000181,-109.7646,8.816,1.8,247.9,126.4,175.2,278.26492772176664,True,626612.3717832608,2544073.2067072084,360.2225750030382,806.0490653749569,806.0490653749569,882.8790400353046,20.24996446759259
2024,10,4,7,4,51.2,2024-10-04 07:04:51.200,3786,23.003261,-109.76731,8.971,1.6,191.7,107.9,147.5,219.98022638410023,True,626331.7348372301,2544411.8791008377,-77.85657450622483,845.3268510729768,845.3268510729768,848.9046656361348,20.295037037037037
2024,10,5,8,59,23.57,2024-10-05 08:59:23.570,3918,23.011155,-109.763151,9.248,1.5,188.0,99.2,132.2,212.56678950391097,True,626750.6391240695,2545289.4763780143,-563.4984218880868,2.8247570033560123,2.8247570033560123,563.5055019451826,21.374578356481482
2024,10,6,1,13,45.63,2024-10-06 01:13:45.630,4005,23.005973,-109.784701,8.018,1.1,170.2,80.1,164.6,188.10648579993193,True,624546.7475801844,2544697.2611751896,-1324.602242633178,2154.2377247322847,2154.2377247322847,2528.8952678686746,22.051222569444445
2024,10,6,1,50,6.92,2024-10-06 01:50:06.920,4027,23.004175,-109.765755,9.238,1.2,178.2,78.7,133.4,194.8048510689608,True,626490.2635827521,2544514.4161559176,-72.49241893380463,656.6036764064174,656.6036764064174,660.5933232127749,22.07646898148148
2024,10,6,5,23,35.73,2024-10-06 05:23:35.730,4048,23.005251,-109.763102,9.114,1.8,202.7,114.0,136.7,232.5581432674418,True,626761.1776828005,2544635.8404851016,-18.996415454660735,364.5822817543161,364.5822817543161,365.07684666287673,22.224719097222223
