year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,in_tule,utm_x_m,utm_y_m,along_fault_m,r_proj_m,dist_to_fault_m,d_euclid_ref_m,t_days_since_rain,distance_km,t_days,t_seconds,Dmin_m2s,selected_envelope
2024,9,5,9,48,18.62,2024-09-05 09:48:18.620,515,23.009275,-109.768286,10.932,1.9,176.5,88.4,133.3,197.40012664636265,True,626226.1037641885,2545076.894432286,-685.6266098371393,555.4667144436993,555.4667144436993,882.398503495811,-8.591451157407407,0.5554667144436993,-8.591451157407407,-742301.38,,False
2024,9,9,20,25,39.68,2024-09-09 20:25:39.680,1006,23.014561,-109.767244,10.837,2.0,210.1,95.7,144.6,230.8690104799689,True,626327.9761692218,2545663.0466118064,-1110.8213574304748,139.33958112620388,139.33958112620388,1119.526510178347,-4.148846296296297,0.13933958112620387,-4.148846296296297,-358460.32,,False
2024,9,22,1,44,47.54,2024-09-22 01:44:47.540,2324,23.014223,-109.767798,11.216,1.3,208.0,110.0,158.0,235.29555881911585,True,626271.5130117626,2545625.146416289,-1111.5952667525994,207.33894902686785,207.33894902686785,1130.7667650096323,8.072772453703704,0.20733894902686786,8.072772453703704,697487.54,0.015408676613623128,False
2024,9,27,7,40,1.22,2024-09-27 07:40:01.220,2649,23.012433,-109.769165,8.128,1.8,164.6,82.2,133.5,183.98369492974095,True,626133.0775045652,2545425.784141344,-1025.7977029598017,434.38186208821134,434.38186208821134,1113.9786934716603,13.319458564814814,0.43438186208821133,13.319458564814814,1150801.22,0.04099048533143323,True
2024,9,29,1,6,52.35,2024-09-29 01:06:52.350,2895,23.003778,-109.758407,9.284,1.6,175.4,77.1,119.7,191.59741647527505,True,627243.7699035893,2544476.8212172077,385.5225606790902,57.097685270055706,57.097685270055706,389.72784151990106,15.046439236111112,0.05709768527005571,15.046439236111112,1300012.35,0.0006269451330978387,False
2024,10,1,8,10,13.59,2024-10-01 08:10:13.590,3267,23.006907,-109.771167,8.516,1.1,189.3,91.5,147.2,210.2539892606083,True,625933.0252241875,2544812.236410404,-633.6740660603007,946.9253104031482,946.9253104031482,1139.390348159705,17.340435069444446,0.9469253104031482,17.340435069444446,1498213.59,0.14962278233674586,True
2024,10,3,3,52,2.14,2024-10-03 03:52:02.140,3525,23.006185,-109.76285,8.921,1.9,193.5,91.4,130.8,214.0004906536431,True,626786.1334420441,2544739.4689171775,-90.23231517966404,285.2911192939265,285.2911192939265,299.2204763224997,19.16113587962963,0.2852911192939265,19.16113587962963,1655522.14,0.01229083876038973,False
2024,10,3,8,36,22.32,2024-10-03 08:36:22.320,3575,23.013859,-109.7712,10.789,1.5,168.4,159.8,130.0,232.15210531029007,True,625923.1891520966,2545581.9172223085,-1273.3871413070065,518.8219561925656,518.8219561925656,1375.0240121079742,19.35859166666667,0.5188219561925657,19.35859166666667,1672582.3200000003,0.04023362841529385,False
2024,10,3,12,49,9.95,2024-10-03 12:49:09.950,3635,23.010191,-109.765088,8.835,1.4,182.9,94.0,129.9,205.64145982753575,True,626553.0158160478,2545181.070171208,-586.1833638700859,227.08414020686044,227.08414020686044,628.6319613347214,19.534142939814817,0.22708414020686044,19.534142939814817,1687749.9500000002,0.007638454786132425,False
2024,10,3,14,1,17.47,2024-10-03 14:01:17.470,3659,23.008659,-109.761735,8.647,1.7,189.0,90.8,128.6,209.67985120177855,True,626898.0996542166,2545014.349982346,-253.25082316762223,37.25685006940721,37.25685006940721,255.9766636085652,19.58422997685185,0.03725685006940721,19.58422997685185,1692077.47,0.00020508412021677232,False
2024,10,3,14,16,34.62,2024-10-03 14:16:34.620,3666,23.006824,-109.760913,8.49,1.0,174.7,86.7,121.6,195.03071552963135,True,626984.0654455432,2544811.894620673,-37.7281534966486,81.16891682226759,81.16891682226759,89.50869580307196,19.59484513888889,0.0811689168222676,19.59484513888889,1692994.62,0.0009728904304049404,False
2024,10,3,16,5,33.47,2024-10-03 16:05:33.470,3700,23.006708,-109.761287,8.846,1.4,201.4,93.6,133.9,222.08764035848552,True,626945.841555682,2544798.727341721,-48.542583182993354,120.12390497108484,120.12390497108484,129.56131725009612,19.67052627314815,0.12012390497108484,19.67052627314815,1699533.47,0.0021226049383867417,False
2024,10,3,18,56,9.32,2024-10-03 18:56:09.320,3717,23.003705,-109.764811,8.947,1.0,192.8,95.3,137.8,215.06726854637833,True,626587.4573526395,2544463.193776702,24.792996405912277,605.5555716461965,605.5555716461965,606.0629035195401,19.78899675925926,0.6055555716461966,19.78899675925926,1709769.32,0.05361798607307912,False
2024,10,4,3,34,33.35,2024-10-04 03:34:33.350,3750,23.007646,-109.764714,8.534,1.6,179.9,88.4,129.2,200.44592787083505,True,626593.7222129864,2544899.6163428994,-331.2242167977241,353.056762413043,353.056762413043,484.1059380743492,20.14899710648148,0.35305676241304296,20.14899710648148,1740873.3499999999,0.017900365567314228,False
2024,10,4,5,59,56.93,2024-10-04 05:59:56.930,3778,23.000181,-109.7646,8.816,1.8,247.9,126.4,175.2,278.26492772176664,True,626612.3717832608,2544073.2067072084,360.2225750030382,806.0490653749569,806.0490653749569,882.8790400353046,20.24996446759259,0.8060490653749569,20.24996446759259,1749596.93,0.09283782519437798,False
2024,10,4,7,4,51.2,2024-10-04 07:04:51.200,3786,23.003261,-109.76731,8.971,1.6,191.7,107.9,147.5,219.98022638410023,True,626331.7348372301,2544411.8791008377,-77.85657450622483,845.3268510729768,845.3268510729768,848.9046656361348,20.295037037037037,0.8453268510729768,20.295037037037037,1753491.2,0.10187925168158167,False
2024,10,5,8,59,23.57,2024-10-05 08:59:23.570,3918,23.011155,-109.763151,9.248,1.5,188.0,99.2,132.2,212.56678950391097,True,626750.6391240695,2545289.4763780143,-563.4984218880868,2.8247570033560123,2.8247570033560123,563.5055019451826,21.37457835648148,0.0028247570033560123,21.37457835648148,1846763.5699999998,1.0801669820691828e-06,False
2024,10,6,1,13,45.63,2024-10-06 01:13:45.630,4005,23.005973,-109.784701,8.018,1.1,170.2,80.1,164.6,188.10648579993193,True,624546.7475801844,2544697.2611751896,-1324.602242633178,2154.2377247322847,2154.2377247322847,2528.895267868674,22.051222569444445,2.1542377247322846,22.051222569444445,1905225.6300000001,0.6089488958139476,False
2024,10,6,1,50,6.92,2024-10-06 01:50:06.920,4027,23.004175,-109.765755,9.238,1.2,178.2,78.7,133.4,194.8048510689608,True,626490.2635827521,2544514.4161559176,-72.49241893380463,656.6036764064174,656.6036764064174,660.5933232127749,22.07646898148148,0.6566036764064175,22.07646898148148,1907406.92,0.05650713323804332,False
2024,10,6,5,23,35.73,2024-10-06 05:23:35.730,4048,23.005251,-109.763102,9.114,1.8,202.7,114.0,136.7,232.5581432674418,True,626761.1776828005,2544635.8404851016,-18.996415454660735,364.5822817543161,364.5822817543161,365.07684666287673,22.224719097222223,0.3645822817543161,22.224719097222223,1920215.7300000002,0.01730537851718144,False
2024,10,6,9,24,13.1,2024-10-06 09:24:13.100,4107,23.002303,-109.762101,8.834,1.6,187.7,88.2,130.6,207.38980206365017,True,626866.5307238436,2544310.3103905157,308.91478844942014,462.27234313359736,462.27234313359736,555.9892676562888,22.391818287037037,0.4622723431335974,22.391818287037037,1934653.0999999999,0.0276142166296152,False
2024,10,6,11,56,14.91,2024-10-06 11:56:14.910,4143,23.000144,-109.760994,9.581,1.3,195.5,80.2,133.4,211.31088471728097,True,626982.0145644017,2544072.229106529,570.5185865756223,502.0551034788282,502.0551034788282,759.9676207295826,22.497394791666665,0.5020551034788282,22.497394791666665,1943774.91,0.03241879057502817,False
2024,10,6,12,27,52.08,2024-10-06 12:27:52.080,4150,22.998332,-109.782153,7.786,1.5,170.0,89.9,170.7,192.30707215284625,True,624814.9279697026,2543853.438302264,-477.3901479421699,2411.5107874570326,2411.5107874570326,2458.3095068306357,22.51935277777778,2.4115107874570327,22.51935277777778,1945672.08,0.7472205025964135,False
2024,10,6,15,21,9.96,2024-10-06 15:21:09.960,4175,23.000126,-109.781681,8.118,1.3,173.8,85.3,166.0,193.6040547096057,True,624861.6570259891,2544052.466885065,-614.886303470264,2260.2137660447106,2260.2137660447106,2342.3602272949693,22.63969861111111,2.2602137660447106,22.63969861111111,1956069.96,0.652912008860104,False
2024,10,7,0,10,20.3,2024-10-07 00:10:20.300,4201,23.004075,-109.769474,10.986,1.5,175.6,83.8,135.4,194.57080973260096,True,626109.1777839052,2544500.1397984596,-276.7059142055366,978.6705154537732,978.6705154537732,1017.0359584473284,23.00717939814815,0.9786705154537731,23.00717939814815,1987820.3,0.12045806879758625,False
2024,10,7,1,54,30.18,2024-10-07 01:54:30.180,4205,23.001013,-109.759033,8.526,1.4,185.3,92.9,128.4,207.2836221219612,True,627182.1991581691,2544170.142902466,603.2997841777263,281.63192842604076,281.63192842604076,665.7981471120671,23.07951597222222,0.28163192842604073,23.07951597222222,1994070.18,0.009944051105183588,False
2024,10,7,9,26,55.19,2024-10-07 09:26:55.190,4283,23.007377,-109.76237,8.78,1.2,208.5,103.1,135.4,232.5980653401915,True,626834.2159852523,2544871.8599320995,-172.05882918998674,170.644996819835,170.644996819835,242.3302615066276,23.393694328703702,0.170644996819835,23.393694328703702,2021215.19,0.003601758373342907,False
2024,10,7,12,33,55.36,2024-10-07 12:33:55.360,4305,23.012801,-109.766943,9.298,1.8,198.1,87.8,148.2,216.6851402380883,True,626360.464554538,2545468.442803392,-932.0752400049528,222.8618113111289,222.8618113111289,958.3483917507074,23.52355740740741,0.2228618113111289,23.52355740740741,2032435.36,0.006109343981901251,False
2024,10,8,9,10,53.79,2024-10-08 09:10:53.790,4406,23.004309,-109.759668,8.889,1.3,184.8,95.6,122.5,208.06345186024384,True,627114.0256474604,2544534.518294456,264.4550598339742,131.2946189031317,131.2946189031317,295.25371398969645,24.382567013888888,0.13129461890313168,24.382567013888888,2106653.79,0.0020456941044069924,False
2024,10,11,5,26,41.74,2024-10-11 05:26:41.740,4494,23.014803,-109.772559,11.753,1.5,183.6,94.9,137.2,206.67600247730743,True,625783.0330874552,2545685.267353641,-1437.9688755039756,575.7238443063771,575.7238443063771,1548.9391310897538,27.226871990740744,0.5757238443063771,27.226871990740744,2352401.74,0.03522548245765555,False
2024,10,12,2,20,39.17,2024-10-12 02:20:39.170,4539,23.00097,-109.757056,9.478,2.0,184.5,78.8,120.4,200.62325388648247,True,627384.8772831393,2544167.0986299515,720.6733266687928,116.37109985597044,116.37109985597044,730.008408618389,28.097675578703704,0.11637109985597044,28.097675578703704,2427639.17,0.0013945887272951115,False
2024,10,12,2,30,50.56,2024-10-12 02:30:50.560,4548,23.006606,-109.76005,9.006,1.4,220.7,112.3,133.3,247.62831017474556,True,627072.721214786,2544788.5061159967,31.78617554327324,21.38074383494034,21.38074383494034,38.30792558470272,28.10475185185185,0.02138074383494034,28.10475185185185,2428250.56,4.706435720283941e-05,False
2024,10,12,2,51,32.16,2024-10-12 02:51:32.160,4554,22.995404,-109.755737,9.284,1.4,180.9,65.3,118.8,192.32498537631557,True,627525.3012906559,2543551.989319039,1307.044357892656,349.28176942619626,349.28176942619626,1352.908979921606,28.119122222222224,0.34928176942619626,28.119122222222224,2429492.16,0.012553832902006002,False
2024,10,12,3,45,44.3,2024-10-12 03:45:44.300,4573,23.00403,-109.767065,8.581,1.4,182.4,85.5,137.6,201.44480633662417,True,626356.1301760741,2544497.23218284,-134.35305850328962,776.854751203401,776.854751203401,788.3869917727501,28.15676273148148,0.776854751203401,28.15676273148148,2432744.3,0.062018776949482324,False
2024,10,12,4,56,12.33,2024-10-12 04:56:12.330,4583,23.009033,-109.771167,8.104,1.4,174.9,84.5,140.8,194.24278622383895,True,625931.0517196091,2545047.6220877566,-828.7263510588604,815.1492961217945,815.1492961217945,1162.435262673664,28.20569826388889,0.8151492961217944,28.20569826388889,2436972.33,0.06816535899772166,False
2024,10,12,6,13,32.57,2024-10-12 06:13:32.570,4599,23.002336,-109.756836,9.779,1.6,197.4,93.1,129.7,218.25299539754317,True,627406.144287701,2544318.530557147,607.9616585032228,13.027043826695376,13.027043826695376,608.1012103925234,28.259404745370368,0.013027043826695376,28.259404745370368,2441612.57,1.737620793607748e-05,False
2024,10,12,6,13,46.32,2024-10-12 06:13:46.320,4600,23.015761,-109.767643,11.973,1.5,188.2,97.4,130.6,211.91035840656775,True,626285.9663596997,2545795.5640240423,-1243.810759441313,98.84874766236749,98.84874766236749,1247.732455383122,28.259563888888888,0.09884874766236748,28.259563888888888,2441626.32,0.0010004678883886705,False
2024,10,12,6,43,54.1,2024-10-12 06:43:54.100,4611,23.011151,-109.774967,8.118,1.3,175.7,83.9,149.7,194.70413452209996,True,625539.6252322999,2545278.8614220363,-1241.080231588917,1006.5927653159592,1006.5927653159592,1597.97031775538,28.28048726851852,1.0065927653159592,28.28048726851852,2443434.1,0.1036685412537246,False
