year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m
2024,8,28,8,18,54.71,2024-08-28 08:18:54.710,80,23.015499,-109.733219,11.051,2.5,194.1,100.7,63.0,218.6670985768092
2024,8,28,16,11,34.82,2024-08-28 16:11:34.820,81,23.019826,-109.737866,11.625,2.3,197.3,102.0,70.7,222.10648347132957
2024,8,29,0,0,1.43,2024-08-29 00:00:01.430,82,23.021252,-109.73619,12.25,2.4,201.4,105.1,64.7,227.17387613896105
2024,8,29,14,16,1.0,2024-08-29 14:16:01.000,83,23.021627,-109.741357,11.914,1.5,200.8,104.1,87.1,226.18012733217745
2024,8,30,11,24,7.41,2024-08-30 11:24:07.410,84,23.017719,-109.731877,12.471,2.0,204.1,114.0,68.6,233.77940456763935
2024,8,30,12,20,28.05,2024-08-30 12:20:28.050,85,23.021244,-109.738729,11.155,2.1,193.0,100.6,74.1,217.64503210503105
2024,8,30,12,35,3.09,2024-08-30 12:35:03.090,86,23.073891,-109.728695,5.008,3.0,162.9,139.0,71.8,214.14343324043352
2024,8,31,2,3,3.77,2024-08-31 02:03:03.770,87,23.024713,-109.752743,11.677,1.7,201.6,99.8,103.6,224.9502167147211
2024,8,31,2,26,51.55,2024-08-31 02:26:51.550,88,23.016042,-109.734448,11.116,1.7,196.6,101.5,66.3,221.25507903774775
2024,8,31,7,28,49.48,2024-08-31 07:28:49.480,89,23.023954,-109.742122,12.155,1.7,201.5,103.2,80.5,226.39012787663688
2024,8,31,10,7,35.43,2024-08-31 10:07:35.430,90,23.024565,-109.734757,12.026,3.0,199.6,104.8,62.0,225.4400141944637
2024,8,31,10,9,28.45,2024-08-31 10:09:28.450,91,23.022514,-109.700822,12.731,1.9,202.1,144.4,104.0,248.38633215215364
2024,9,2,11,30,5.4,2024-09-02 11:30:05.400,93,23.02427,-109.730363,11.676,2.4,199.9,121.7,58.5,234.0318354412493
2024,9,2,12,14,51.23,2024-09-02 12:14:51.230,94,23.012512,-109.748698,10.969,2.1,218.8,97.8,107.7,239.66284651568336
2024,9,2,12,53,13.8,2024-09-02 12:53:13.800,95,23.015151,-109.725326,10.764,2.0,188.3,135.0,65.9,231.6935260209055
2024,9,2,17,21,11.76,2024-09-02 17:21:11.760,96,23.018713,-109.731478,11.32,2.1,204.6,113.1,56.9,233.77931901688825
2024,9,3,11,58,46.13,2024-09-03 11:58:46.130,97,23.018154,-109.734033,11.747,4.3,199.9,104.5,62.3,225.56653120531868
2024,9,3,12,2,27.5,2024-09-03 12:02:27.500,98,22.978859,-109.724284,7.427,2.6,215.2,115.5,136.2,244.2361357375276
2024,9,3,12,3,3.96,2024-09-03 12:03:03.960,99,23.006024,-109.797314,9.94,2.2,199.6,122.8,203.4,234.35016535091245
2024,9,3,12,3,11.43,2024-09-03 12:03:11.430,100,22.962535,-109.767879,12.426,1.8,242.5,107.3,175.5,265.17831736399563
2024,9,3,12,5,10.09,2024-09-03 12:05:10.090,101,23.024744,-109.741195,10.518,2.3,188.0,97.1,86.5,211.59491959874651
2024,9,3,12,5,58.26,2024-09-03 12:05:58.260,102,23.027511,-109.744271,11.756,1.9,197.4,101.2,84.0,221.82921358558707
2024,9,3,12,7,27.85,2024-09-03 12:07:27.850,103,23.025382,-109.73658,11.842,1.7,199.7,103.2,64.0,224.7895237772437
2024,9,3,12,8,45.85,2024-09-03 12:08:45.850,104,23.013668,-109.732992,11.778,1.6,200.0,103.4,62.5,225.14786252594092
2024,9,3,12,9,45.56,2024-09-03 12:09:45.560,105,23.019771,-109.730859,11.208,1.6,194.5,102.2,48.2,219.71593023720425
2024,9,3,12,10,12.5,2024-09-03 12:10:12.500,106,23.014225,-109.725562,11.043,1.7,196.3,103.2,37.8,221.77450259216005
2024,9,3,12,10,35.98,2024-09-03 12:10:35.980,107,23.017114,-109.726693,11.006,1.7,192.7,103.4,40.7,218.6889343336786
2024,9,3,12,11,57.34,2024-09-03 12:11:57.340,108,23.004352,-109.72509,10.493,1.5,198.0,109.1,79.0,226.06815344050565
2024,9,3,12,13,50.04,2024-09-03 12:13:50.040,109,23.01689,-109.735042,12.08,1.6,201.0,104.9,65.5,226.7267297872044
2024,9,3,12,14,10.1,2024-09-03 12:14:10.100,110,23.022725,-109.728931,10.966,1.7,189.6,100.8,42.5,214.72959740101035
2024,9,3,12,15,6.74,2024-09-03 12:15:06.740,111,23.017181,-109.727922,11.267,1.5,197.0,103.7,40.6,222.62679533245768
2024,9,3,12,15,21.7,2024-09-03 12:15:21.700,112,23.013501,-109.718669,10.512,1.6,190.8,106.5,57.9,218.51061759099943
2024,9,3,12,19,57.13,2024-09-03 12:19:57.130,113,23.017267,-109.73855,10.754,2.2,192.0,97.5,77.1,215.33752575898143
2024,9,3,12,20,37.28,2024-09-03 12:20:37.280,114,23.02403,-109.737752,11.081,1.8,190.7,101.5,66.5,216.02948872781235
2024,9,3,12,23,4.14,2024-09-03 12:23:04.140,115,23.014512,-109.729036,11.169,1.7,201.2,103.9,50.5,226.44348080702167
2024,9,3,12,23,54.97,2024-09-03 12:23:54.970,116,23.021273,-109.729386,11.34,1.3,196.2,108.4,50.1,224.1539649437413
2024,9,3,12,24,16.9,2024-09-03 12:24:16.900,117,23.013149,-109.721297,11.037,1.7,193.9,107.0,44.6,221.4637893652143
2024,9,3,12,33,36.07,2024-09-03 12:33:36.070,118,23.016701,-109.72627,11.042,1.9,191.4,108.1,41.5,219.81712854097609
2024,9,3,12,34,31.32,2024-09-03 12:34:31.320,119,23.01677,-109.735164,12.568,1.6,203.6,111.6,65.9,232.17993022653783
2024,9,3,12,40,3.11,2024-09-03 12:40:03.110,120,23.01829,-109.724748,10.778,2.5,193.6,108.7,48.5,222.02848916299007
2024,9,3,12,42,45.19,2024-09-03 12:42:45.190,121,23.018103,-109.728263,11.361,1.8,199.5,116.9,43.7,231.226858301539
2024,9,3,12,45,12.92,2024-09-03 12:45:12.920,122,23.020133,-109.739982,12.059,2.0,198.9,109.3,76.9,226.95307885111407
2024,9,3,12,46,51.96,2024-09-03 12:46:51.960,123,23.017523,-109.728499,11.375,1.5,195.7,107.6,47.0,223.3299129091309
2024,9,3,13,6,57.49,2024-09-03 13:06:57.490,124,23.026709,-109.751717,11.08,2.4,193.9,96.8,104.9,216.7197499075707
2024,9,3,13,7,13.05,2024-09-03 13:07:13.050,125,23.023716,-109.736971,11.349,1.8,192.8,103.1,64.4,218.63542713842148
2024,9,3,13,8,50.28,2024-09-03 13:08:50.280,126,23.021198,-109.73033,10.69,2.2,186.9,98.9,48.7,211.4540612047922
2024,9,3,13,8,56.22,2024-09-03 13:08:56.220,127,23.016437,-109.729053,10.949,1.7,196.3,102.0,45.4,221.2186474960915
2024,9,3,13,11,52.99,2024-09-03 13:11:52.990,128,23.020782,-109.728166,11.341,1.9,194.6,105.5,41.8,221.3581035336181
2024,9,3,13,12,25.4,2024-09-03 13:12:25.400,129,23.025802,-109.738021,12.102,2.2,199.0,103.8,68.3,224.44473707351665
2024,9,3,13,15,57.77,2024-09-03 13:15:57.770,130,23.017106,-109.735238,11.968,2.3,200.3,104.0,66.1,225.69025233713575
2024,9,3,13,17,47.29,2024-09-03 13:17:47.290,131,23.009334,-109.728996,11.735,1.6,200.5,105.1,52.5,226.3763680245798
2024,9,3,13,23,47.48,2024-09-03 13:23:47.480,132,23.021177,-109.729508,11.352,1.8,195.7,109.4,47.3,224.20269846725753
2024,9,3,13,24,10.89,2024-09-03 13:24:10.890,133,23.017179,-109.725618,11.358,1.7,202.8,112.3,49.5,231.81701835715168
2024,9,3,13,24,46.24,2024-09-03 13:24:46.240,134,23.025175,-109.739258,10.734,2.3,188.0,96.9,68.9,211.50321510558652
2024,9,3,13,27,59.17,2024-09-03 13:27:59.170,135,23.021,-109.73645,12.07,1.6,200.8,105.3,66.4,226.7349333472899
