selection_order,filtered_index,original_row,event_id,datetime,t_days_since_rain,t_seconds,r_proj_m,distance_km,depth_km,magnitude,err_h_m,Dmin_m2s
1,0,3,2649,2024-09-27 07:40:01.220,13.319458564814814,1150801.22,434.38186208821134,0.43438186208821133,8.128,1.8,183.98369492974095,0.04099048533143323
2,2,5,3267,2024-10-01 08:10:13.590,17.340435069444446,1498213.59,946.9253104031482,0.9469253104031482,8.516,1.1,210.2539892606083,0.14962278233674586
3,31,38,4630,2024-10-12 07:30:57.980,28.313171064814817,2446257.98,1170.2519409673744,1.1702519409673744,8.627,1.2,210.5912866193661,0.1399576022372247
4,36,44,5124,2024-10-19 09:14:50.450,35.38530613425926,3057290.45,1316.1623195073523,1.3161623195073524,8.693,1.4,125.8672713615418,0.141651838418801
5,40,49,176,2025-01-10 18:22:40.400,118.76574537037035,10261360.399999999,1898.6680485564077,1.8986680485564078,7.901,2.2,250.40007987219172,0.08782803200755424
6,41,50,222,2025-01-13 09:03:50.440,121.37766712962964,10487030.440000001,1963.1001389024789,1.963100138902479,6.419,1.5,201.8454111442715,0.09186971892109172
7,62,82,1118,2025-04-01 11:25:31.040,199.47605370370368,17234731.04,2282.485314517479,2.282485314517479,2.7,1.8,201.6504897092987,0.07557035846536707
