iter,D50_m2s,D90_m2s,D95_m2s,D100_m2s
1,0.0878280320075542,0.141651838418801,0.141651838418801,0.141651838418801
2,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
3,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
4,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
5,0.141651838418801,0.14484021598597893,0.14723149916136236,0.1496227823367458
6,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
7,0.0878280320075542,0.14063529670985522,0.1411435675643281,0.141651838418801
8,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
9,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
10,0.1399576022372247,0.14063529670985522,0.1411435675643281,0.141651838418801
11,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
12,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
13,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
14,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
15,0.0918697189210917,0.11497094428735337,0.13229686331204954,0.1496227823367458
16,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
17,0.141651838418801,0.14484021598597893,0.14723149916136236,0.1496227823367458
18,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
19,0.0878280320075542,0.141651838418801,0.141651838418801,0.141651838418801
20,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
21,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
22,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
23,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
24,0.1399576022372247,0.14382367427703316,0.14672322830688947,0.1496227823367458
25,0.0878280320075542,0.11110487224754492,0.12553123724238477,0.1399576022372247
26,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
27,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
28,0.0878280320075542,0.1399576022372247,0.1399576022372247,0.1399576022372247
29,0.1399576022372247,0.14063529670985522,0.1411435675643281,0.141651838418801
30,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
31,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
32,0.0878280320075542,0.14484021598597893,0.14723149916136236,0.1496227823367458
33,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
34,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
35,0.0878280320075542,0.10867986009942242,0.12431873116832351,0.1399576022372247
36,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
37,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
38,0.0878280320075542,0.14382367427703316,0.14672322830688947,0.1496227823367458
39,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
40,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
41,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
42,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
43,0.141651838418801,0.14484021598597893,0.14723149916136236,0.1496227823367458
44,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
45,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
46,0.0918697189210917,0.11110487224754492,0.12553123724238477,0.1399576022372247
47,0.075570358465367,0.1496227823367458,0.1496227823367458,0.1496227823367458
48,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
49,0.0878280320075542,0.14382367427703316,0.14672322830688947,0.1496227823367458
50,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
51,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
52,0.075570358465367,0.11497094428735337,0.13229686331204954,0.1496227823367458
53,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
54,0.0918697189210917,0.1399576022372247,0.1399576022372247,0.1399576022372247
55,0.075570358465367,0.1496227823367458,0.1496227823367458,0.1496227823367458
56,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
57,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
58,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
59,0.1496227823367458,0.1496227823367458,0.1496227823367458,0.1496227823367458
60,0.075570358465367,0.14063529670985522,0.1411435675643281,0.141651838418801
61,0.0878280320075542,0.14382367427703316,0.14672322830688947,0.1496227823367458
62,0.0918697189210917,0.0918697189210917,0.0918697189210917,0.0918697189210917
63,0.075570358465367,0.141651838418801,0.141651838418801,0.141651838418801
64,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
65,0.0878280320075542,0.141651838418801,0.141651838418801,0.141651838418801
66,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
67,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
68,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
69,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
70,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
71,0.0878280320075542,0.1399576022372247,0.1399576022372247,0.1399576022372247
72,0.075570358465367,0.1399576022372247,0.1399576022372247,0.1399576022372247
73,0.1496227823367458,0.1496227823367458,0.1496227823367458,0.1496227823367458
74,0.075570358465367,0.0918697189210917,0.0918697189210917,0.0918697189210917
75,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
76,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
77,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
78,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
79,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
80,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
81,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
82,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
83,0.075570358465367,0.14063529670985522,0.1411435675643281,0.141651838418801
84,0.075570358465367,0.11110487224754492,0.12553123724238477,0.1399576022372247
85,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
86,0.0878280320075542,0.0918697189210917,0.0918697189210917,0.0918697189210917
87,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
88,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
89,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
90,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
91,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
92,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
93,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
94,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
95,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
96,0.075570358465367,0.10935755457205293,0.12550469649542692,0.141651838418801
97,0.0878280320075542,0.11178256672017545,0.12671720256948818,0.141651838418801
98,0.075570358465367,0.11497094428735337,0.13229686331204954,0.1496227823367458
99,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
100,0.075570358465367,0.11497094428735337,0.13229686331204954,0.1496227823367458
101,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
102,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
103,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
104,0.075570358465367,0.0918697189210917,0.0918697189210917,0.0918697189210917
105,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
106,0.0918697189210917,0.11110487224754492,0.12553123724238477,0.1399576022372247
107,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
108,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
109,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
110,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
111,0.0878280320075542,0.11110487224754492,0.12553123724238477,0.1399576022372247
112,0.075570358465367,0.11497094428735337,0.13229686331204954,0.1496227823367458
113,0.0878280320075542,0.141651838418801,0.141651838418801,0.141651838418801
114,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
115,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
116,0.075570358465367,0.14063529670985522,0.1411435675643281,0.141651838418801
117,0.0878280320075542,0.11497094428735337,0.13229686331204954,0.1496227823367458
118,0.075570358465367,0.0878280320075542,0.0878280320075542,0.0878280320075542
119,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
120,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
121,0.075570358465367,0.14382367427703316,0.14672322830688947,0.1496227823367458
122,0.0878280320075542,0.11497094428735337,0.13229686331204954,0.1496227823367458
123,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
124,0.0918697189210917,0.0918697189210917,0.0918697189210917,0.0918697189210917
125,0.0878280320075542,0.14484021598597893,0.14723149916136236,0.1496227823367458
126,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
127,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
128,0.0878280320075542,0.14484021598597893,0.14723149916136236,0.1496227823367458
129,0.0409904853314332,0.14484021598597893,0.14723149916136236,0.1496227823367458
130,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
131,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
132,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
133,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
134,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
135,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
136,0.075570358465367,0.14382367427703316,0.14672322830688947,0.1496227823367458
137,0.0878280320075542,0.1399576022372247,0.1399576022372247,0.1399576022372247
138,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
139,0.1399576022372247,0.14063529670985522,0.1411435675643281,0.141651838418801
140,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
141,0.0878280320075542,0.10935755457205293,0.12550469649542692,0.141651838418801
142,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
143,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
144,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
145,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
146,0.0409904853314332,0.14063529670985522,0.1411435675643281,0.141651838418801
147,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
148,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
149,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
150,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
151,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
152,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
153,0.0878280320075542,0.1399576022372247,0.1399576022372247,0.1399576022372247
154,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
155,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
156,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
157,0.0918697189210917,0.1399576022372247,0.1399576022372247,0.1399576022372247
158,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
159,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
160,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
161,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
162,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
163,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
164,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
165,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
166,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
167,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
168,0.0878280320075542,0.14382367427703316,0.14672322830688947,0.1496227823367458
169,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
170,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
171,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
172,0.0878280320075542,0.11178256672017545,0.12671720256948818,0.141651838418801
173,0.0878280320075542,0.14484021598597893,0.14723149916136236,0.1496227823367458
174,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
175,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
176,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
177,0.0878280320075542,0.1399576022372247,0.1399576022372247,0.1399576022372247
178,0.075570358465367,0.141651838418801,0.141651838418801,0.141651838418801
179,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
180,0.0918697189210917,0.14484021598597893,0.14723149916136236,0.1496227823367458
181,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
182,0.075570358465367,0.1399576022372247,0.1399576022372247,0.1399576022372247
183,0.0878280320075542,0.0918697189210917,0.0918697189210917,0.0918697189210917
184,0.0918697189210917,0.14382367427703316,0.14672322830688947,0.1496227823367458
185,0.075570358465367,0.14484021598597893,0.14723149916136236,0.1496227823367458
186,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
187,0.0878280320075542,0.1496227823367458,0.1496227823367458,0.1496227823367458
188,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
189,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
190,0.0878280320075542,0.14382367427703316,0.14672322830688947,0.1496227823367458
191,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
192,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
193,0.0878280320075542,0.11497094428735337,0.13229686331204954,0.1496227823367458
194,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
195,0.1399576022372247,0.14484021598597893,0.14723149916136236,0.1496227823367458
196,0.0878280320075542,0.14063529670985522,0.1411435675643281,0.141651838418801
197,0.0918697189210917,0.141651838418801,0.141651838418801,0.141651838418801
198,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
199,0.1399576022372247,0.141651838418801,0.141651838418801,0.141651838418801
200,0.0878280320075542,0.14382367427703316,0.14672322830688947,0.1496227823367458
201,0.1399576022372247,0.1496227823367458,0.1496227823367458,0.1496227823367458
202,0.0918697189210917,0.1496227823367458,0.1496227823367458,0.1496227823367458
203,0.0878280320075542,0.141651838418801,0.141651838418801,0.141651838418801
204,0.0878280320075542,0.11497094428735337,0.13229686331204954,0.1496227823367458
205,0.141651838418801,0.1496227823367458,0.1496227823367458,0.1496227823367458
206,0.0918697189210917,0.14063529670985522,0.1411435675643281,0.141651838418801
207,0.075570358465367,0.11178256672017545,0.12671720256948818,0.141651838418801
